country name,countryid,coef not urban,SE not urban,coef urban,se urban,diff,se diff,p-value,year,Urban significantly better,Urban significantly worse,No signficant difference
GRC,300,467.4990189,5.384789652,477.7065768,6.537044729,10.20755796,9.312818878,0.273045484,2009,FALSE,FALSE,TRUE
HKG,344,0,,549.1227895,2.774578642,0,,,2009,N/A,N/A,N/A
HUN,348,489.8033846,5.730928698,520.9096106,6.280550873,31.10622602,9.863272304,0.00161191,2009,TRUE,FALSE,FALSE
ISL,352,489.2435146,1.65936627,502.881155,2.645263648,13.63764038,3.155757733,1.54965E-05,2009,TRUE,FALSE,FALSE
QHP,356,340.7491869,3.356992274,377.4240999,17.07238362,36.67491305,17.69753439,0.038235827,2009,TRUE,FALSE,FALSE
IDN,360,375.3650254,3.934602838,411.4595628,8.052234632,36.09453737,9.120072995,7.56741E-05,2009,TRUE,FALSE,FALSE
IRL,372,505.5590084,4.173905999,509.4389608,7.987263557,3.879952348,9.43904668,0.68103337,2009,FALSE,FALSE,TRUE
ISR,376,444.0075767,5.598829061,474.2120859,6.200785934,30.20450924,9.44780855,0.001388718,2009,TRUE,FALSE,FALSE
ITA,380,486.7822058,2.643412142,493.8241516,4.869633474,7.041945758,6.440486141,0.274223787,2009,FALSE,FALSE,TRUE
JPN,392,527.1344035,8.400747127,544.8495812,4.581439279,17.71517768,10.80484955,0.101097099,2009,FALSE,FALSE,TRUE
KAZ,398,384.5623203,4.329105936,424.7902485,5.624899625,40.22792827,7.622871671,1.31125E-07,2009,TRUE,FALSE,FALSE
JOR,400,404.710256,4.768000395,430.0726537,5.311984622,25.36239778,7.081930735,0.000341911,2009,TRUE,FALSE,FALSE
KOR,410,522.7688794,13.25101726,540.4901495,3.282306735,17.7212701,13.71847544,0.196432892,2009,FALSE,FALSE,TRUE
KSV,411,,,,,,,,2009,N/A,N/A,N/A
KGZ,417,316.7448428,3.060513404,402.951893,9.010497734,86.20705023,9.408362342,5.05625E-20,2009,TRUE,FALSE,FALSE
LBN,422,,,,,,,,2009,N/A,N/A,N/A
LVA,428,488.4456731,3.135074649,508.4352863,7.146550437,19.9896132,7.792608865,0.010311586,2009,TRUE,FALSE,FALSE
LIE,438,519.9141675,3.424309105,0,,0,,,2009,N/A,N/A,N/A
LTU,440,483.2746695,2.946648076,505.3127771,6.050522788,22.03810758,6.582387394,0.000813848,2009,TRUE,FALSE,FALSE
LUX,442,479.3981331,1.225957629,0,,0,,,2009,N/A,N/A,N/A
MAC,446,0,,511.0695978,1.034302875,0,,,2009,N/A,N/A,N/A
MYS,458,416.3025116,2.975855084,434.0701338,5.652559235,17.76762218,6.637545275,0.007432094,2009,TRUE,FALSE,FALSE
MLT,470,460.3535609,1.735254743,0,,0,,,2009,N/A,N/A,N/A
MUS,480,418.8244084,1.191505342,395.7843052,3.285677218,-23.04010315,3.544964189,8.06466E-11,2009,FALSE,TRUE,FALSE
MEX,484,394.7289605,2.491418394,441.4063422,2.557690633,46.67738176,3.880048987,2.46858E-33,2009,TRUE,FALSE,FALSE
MDA,498,402.0727726,3.650247582,463.4733121,6.348360457,61.40053959,7.515408607,3.08508E-16,2009,TRUE,FALSE,FALSE
MNE,499,398.6288024,1.344512437,407.4841486,6.547024491,8.855346159,6.781186026,0.191596832,2009,FALSE,FALSE,TRUE
NLD,528,519.1720487,5.966118673,528.325587,12.1808506,9.153538325,12.98407407,0.480821447,2009,FALSE,FALSE,TRUE
NZL,554,524.6877917,4.988820573,537.8584551,4.523627912,13.17066349,7.880155739,0.094648427,2009,FALSE,FALSE,TRUE
NOR,578,496.7894653,2.437779688,510.5729007,7.518423637,13.78343545,7.785170998,0.07664837,2009,FALSE,FALSE,TRUE
PAN,591,354.7129028,7.157208609,423.2530271,10.32454197,68.54012424,12.6556874,6.103E-08,2009,TRUE,FALSE,FALSE
PER,604,340.592339,3.484161075,416.5875543,6.0405446,75.99521535,7.16101373,2.61086E-26,2009,TRUE,FALSE,FALSE
POL,616,503.5419387,2.52241484,523.7458171,6.237553209,20.20387846,6.716047038,0.002627144,2009,TRUE,FALSE,FALSE
PRT,620,484.1809154,3.195231257,524.7612967,6.620652934,40.58038128,7.384183485,3.89425E-08,2009,TRUE,FALSE,FALSE
QUD,630,,,,,,,,2009,N/A,N/A,N/A
QAT,634,349.0474919,1.154485646,421.2117948,1.415672655,72.16430286,1.82778271,0,2009,TRUE,FALSE,FALSE
ROU,642,419.8027256,4.67600502,442.4161291,7.456647864,22.61340342,9.839598422,0.021550187,2009,TRUE,FALSE,FALSE
RUS,643,465.0967483,4.485403764,493.7623213,4.640161066,28.665573,6.581527573,1.32788E-05,2009,TRUE,FALSE,FALSE
SRB,688,429.9869687,3.984599429,456.516883,4.334294009,26.52991425,6.896922119,0.000119753,2009,TRUE,FALSE,FALSE
SGP,702,0,,541.6955181,1.362796104,0,,,2009,N/A,N/A,N/A
SVK,703,486.8997207,3.424374887,506.26525,8.634957386,19.36552933,9.572452138,0.043068208,2009,TRUE,FALSE,FALSE
VNM,704,,,,,,,,2009,N/A,N/A,N/A
SVN,705,509.3094622,1.429126587,515.9419835,2.224031023,6.632521251,2.78002367,0.017043003,2009,TRUE,FALSE,FALSE
